Run 210, Best epoch: 173, Best val_loss: 1.915328025817871
Run 211, Best epoch: 71, Best val_loss: 2.2140166759490967
Run 212, Best epoch: 172, Best val_loss: 3.373027801513672
Run 213, Best epoch: 172, Best val_loss: 2.064110040664673
Run 214, Best epoch: 314, Best val_loss: 2.0397684574127197
Run 215, Best epoch: 152, Best val_loss: 2.075449228286743
Run 216, Best epoch: 207, Best val_loss: 2.4413092136383057
Run 217, Best epoch: 302, Best val_loss: 2.4706287384033203
Run 218, Best epoch: 207, Best val_loss: 3.204946756362915
Run 219, Best epoch: 126, Best val_loss: 2.873610019683838
Run 220, Best epoch: 542, Best val_loss: 2.198004722595215
Run 221, Best epoch: 493, Best val_loss: 2.094937324523926
Run 222, Best epoch: 130, Best val_loss: 3.1586897373199463
Run 223, Best epoch: 261, Best val_loss: 2.7413973808288574
Run 224, Best epoch: 73, Best val_loss: 1.9094573259353638
Run 225, Best epoch: 242, Best val_loss: 2.4779763221740723
Run 226, Best epoch: 383, Best val_loss: 2.6160271167755127
Run 227, Best epoch: 341, Best val_loss: 2.549081325531006
Run 228, Best epoch: 189, Best val_loss: 2.472358465194702
Run 229, Best epoch: 279, Best val_loss: 2.3699772357940674
Run 230, Best epoch: 42, Best val_loss: 2.268160581588745
Run 231, Best epoch: 66, Best val_loss: 3.0339605808258057
Run 232, Best epoch: 180, Best val_loss: 2.374415397644043
Run 233, Best epoch: 210, Best val_loss: 3.0592124462127686
Run 234, Best epoch: 99, Best val_loss: 1.9523729085922241
Run 235, Best epoch: 148, Best val_loss: 2.6165213584899902
Run 236, Best epoch: 269, Best val_loss: 2.4652013778686523
Run 237, Best epoch: 57, Best val_loss: 2.0529139041900635
Run 238, Best epoch: 202, Best val_loss: 3.2710518836975098
Run 239, Best epoch: 278, Best val_loss: 2.5865583419799805
Run 240, Best epoch: 179, Best val_loss: 1.9198938608169556
Run 241, Best epoch: 199, Best val_loss: 2.0707409381866455
Run 242, Best epoch: 233, Best val_loss: 2.424771785736084
Run 243, Best epoch: 30, Best val_loss: 3.076559066772461
Run 244, Best epoch: 201, Best val_loss: 2.209867238998413
Run 245, Best epoch: 478, Best val_loss: 2.1768994331359863
Run 246, Best epoch: 407, Best val_loss: 2.8748505115509033
Run 247, Best epoch: 528, Best val_loss: 2.238332509994507
Run 248, Best epoch: 317, Best val_loss: 2.8182778358459473
Run 249, Best epoch: 45, Best val_loss: 2.286621570587158
Run 250, Best epoch: 192, Best val_loss: 1.9823113679885864
Run 251, Best epoch: 61, Best val_loss: 2.6425609588623047
Run 252, Best epoch: 536, Best val_loss: 2.2565419673919678
Run 253, Best epoch: 326, Best val_loss: 2.215003252029419
Run 254, Best epoch: 39, Best val_loss: 2.390223264694214
Run 255, Best epoch: 144, Best val_loss: 2.2473108768463135
Run 256, Best epoch: 299, Best val_loss: 2.4388058185577393
Run 257, Best epoch: 61, Best val_loss: 2.088104724884033
Run 258, Best epoch: 100, Best val_loss: 2.7449545860290527
Run 259, Best epoch: 265, Best val_loss: 2.2668933868408203
Run 260, Best epoch: 146, Best val_loss: 2.103266716003418
Run 261, Best epoch: 532, Best val_loss: 2.2794852256774902
Run 262, Best epoch: 51, Best val_loss: 2.2636210918426514
Run 263, Best epoch: 59, Best val_loss: 2.241626024246216
Run 264, Best epoch: 23, Best val_loss: 3.171337127685547
Run 265, Best epoch: 146, Best val_loss: 2.5616161823272705
Run 266, Best epoch: 62, Best val_loss: 3.2058827877044678
Run 267, Best epoch: 508, Best val_loss: 2.1660494804382324
Run 268, Best epoch: 404, Best val_loss: 2.375736951828003
Run 269, Best epoch: 537, Best val_loss: 3.3451454639434814
Run 270, Best epoch: 155, Best val_loss: 2.790412187576294
Run 271, Best epoch: 291, Best val_loss: 2.209745407104492
Run 272, Best epoch: 11, Best val_loss: 2.8149070739746094
Run 273, Best epoch: 86, Best val_loss: 2.2733991146087646
Run 274, Best epoch: 114, Best val_loss: 2.450723886489868
Run 275, Best epoch: 81, Best val_loss: 2.986567258834839
Run 276, Best epoch: 325, Best val_loss: 2.940889596939087
Run 277, Best epoch: 66, Best val_loss: 1.8497552871704102
Run 278, Best epoch: 274, Best val_loss: 2.179624319076538
Run 279, Best epoch: 62, Best val_loss: 2.097217559814453
Run 280, Best epoch: 105, Best val_loss: 3.141069173812866
Run 281, Best epoch: 253, Best val_loss: 2.720062732696533
Run 282, Best epoch: 147, Best val_loss: 2.320369243621826
Run 283, Best epoch: 167, Best val_loss: 2.437802314758301
Run 284, Best epoch: 367, Best val_loss: 2.796570301055908
Run 285, Best epoch: 73, Best val_loss: 2.1396429538726807
Run 286, Best epoch: 211, Best val_loss: 2.3936054706573486
Run 287, Best epoch: 17, Best val_loss: 2.0912370681762695
Run 288, Best epoch: 173, Best val_loss: 2.7017431259155273
Run 289, Best epoch: 215, Best val_loss: 2.635566473007202
Run 290, Best epoch: 38, Best val_loss: 2.5836076736450195
Run 291, Best epoch: 220, Best val_loss: 2.8366522789001465
Run 292, Best epoch: 70, Best val_loss: 1.8790616989135742
Run 293, Best epoch: 123, Best val_loss: 3.266010046005249
Run 294, Best epoch: 116, Best val_loss: 2.5449674129486084
Run 295, Best epoch: 31, Best val_loss: 3.5784568786621094
Run 296, Best epoch: 154, Best val_loss: 2.9204256534576416
Run 297, Best epoch: 317, Best val_loss: 2.7720656394958496
Run 298, Best epoch: 688, Best val_loss: 2.0074617862701416
Run 299, Best epoch: 45, Best val_loss: 2.6377320289611816
Run 300, Best epoch: 279, Best val_loss: 2.2105188369750977
Run 301, Best epoch: 172, Best val_loss: 2.745715856552124
Run 302, Best epoch: 124, Best val_loss: 2.3696234226226807
Run 303, Best epoch: 245, Best val_loss: 2.913193702697754
Run 304, Best epoch: 326, Best val_loss: 2.2800545692443848
Run 305, Best epoch: 384, Best val_loss: 2.7840962409973145
Run 306, Best epoch: 178, Best val_loss: 2.281845808029175
Run 307, Best epoch: 243, Best val_loss: 2.9994122982025146
Run 308, Best epoch: 479, Best val_loss: 2.1518189907073975
Run 309, Best epoch: 355, Best val_loss: 2.1334428787231445
Run 310, Best epoch: 41, Best val_loss: 2.1471970081329346
Run 311, Best epoch: 358, Best val_loss: 2.2333014011383057
Run 312, Best epoch: 211, Best val_loss: 1.9478989839553833
Run 313, Best epoch: 90, Best val_loss: 2.4166007041931152
Run 314, Best epoch: 103, Best val_loss: 3.066725015640259
Run 315, Best epoch: 154, Best val_loss: 2.066563606262207
Run 316, Best epoch: 403, Best val_loss: 2.063138246536255
Run 317, Best epoch: 46, Best val_loss: 2.810350179672241
Run 318, Best epoch: 377, Best val_loss: 3.1215832233428955
Run 319, Best epoch: 119, Best val_loss: 1.9257076978683472
Run 320, Best epoch: 218, Best val_loss: 2.9300501346588135
Run 321, Best epoch: 11, Best val_loss: 2.6512808799743652
Run 322, Best epoch: 86, Best val_loss: 2.009672164916992
Run 323, Best epoch: 62, Best val_loss: 2.49399995803833
Run 324, Best epoch: 487, Best val_loss: 2.571079969406128
Run 325, Best epoch: 231, Best val_loss: 2.351710319519043
Run 326, Best epoch: 213, Best val_loss: 2.935819625854492
Run 327, Best epoch: 73, Best val_loss: 3.0667724609375
Run 328, Best epoch: 401, Best val_loss: 3.068775177001953
Run 329, Best epoch: 74, Best val_loss: 3.191619396209717
Run 330, Best epoch: 430, Best val_loss: 2.5225985050201416
Run 331, Best epoch: 195, Best val_loss: 2.430175542831421
Run 332, Best epoch: 252, Best val_loss: 2.0852935314178467
Run 333, Best epoch: 461, Best val_loss: 3.0976836681365967
Run 334, Best epoch: 49, Best val_loss: 2.2915120124816895
Run 335, Best epoch: 259, Best val_loss: 2.047724723815918
Run 336, Best epoch: 130, Best val_loss: 2.5430991649627686
Run 337, Best epoch: 478, Best val_loss: 2.9285452365875244
Run 338, Best epoch: 386, Best val_loss: 3.2595577239990234
Run 339, Best epoch: 551, Best val_loss: 2.634385824203491
Run 340, Best epoch: 37, Best val_loss: 2.0915892124176025
Run 341, Best epoch: 51, Best val_loss: 2.3583452701568604
Run 342, Best epoch: 81, Best val_loss: 2.389352321624756
Run 343, Best epoch: 430, Best val_loss: 2.272084951400757
Run 344, Best epoch: 164, Best val_loss: 2.2631895542144775
Run 345, Best epoch: 356, Best val_loss: 2.6807615756988525
Run 346, Best epoch: 95, Best val_loss: 2.9366135597229004
Run 347, Best epoch: 121, Best val_loss: 2.060262441635132
Run 348, Best epoch: 56, Best val_loss: 2.906043767929077
Run 349, Best epoch: 157, Best val_loss: 2.014124631881714
Run 350, Best epoch: 356, Best val_loss: 2.427499294281006
Run 351, Best epoch: 27, Best val_loss: 2.0530903339385986
Run 352, Best epoch: 214, Best val_loss: 2.39471697807312
Run 353, Best epoch: 748, Best val_loss: 3.330812692642212
Run 354, Best epoch: 40, Best val_loss: 2.9325783252716064
Run 355, Best epoch: 363, Best val_loss: 2.069247245788574
Run 356, Best epoch: 355, Best val_loss: 2.1742262840270996
Run 357, Best epoch: 215, Best val_loss: 1.948974609375
Run 358, Best epoch: 143, Best val_loss: 2.439920663833618
Run 359, Best epoch: 18, Best val_loss: 2.0222320556640625
Run 360, Best epoch: 455, Best val_loss: 2.2456717491149902
Run 361, Best epoch: 468, Best val_loss: 2.8338849544525146
Run 362, Best epoch: 259, Best val_loss: 2.0672316551208496
Run 363, Best epoch: 189, Best val_loss: 2.1315391063690186
Run 364, Best epoch: 188, Best val_loss: 2.971784830093384
Run 365, Best epoch: 504, Best val_loss: 2.215122699737549
Run 366, Best epoch: 12, Best val_loss: 2.3588476181030273
Run 367, Best epoch: 287, Best val_loss: 2.2340950965881348
Run 368, Best epoch: 590, Best val_loss: 2.9682676792144775
Run 369, Best epoch: 677, Best val_loss: 2.5516552925109863
Run 370, Best epoch: 585, Best val_loss: 2.560208797454834
Run 371, Best epoch: 82, Best val_loss: 2.6246204376220703
Run 372, Best epoch: 116, Best val_loss: 3.353407382965088
Run 373, Best epoch: 310, Best val_loss: 2.784402370452881
Run 374, Best epoch: 95, Best val_loss: 2.3539533615112305
Run 375, Best epoch: 503, Best val_loss: 2.3835597038269043
Run 376, Best epoch: 211, Best val_loss: 3.0519025325775146
Run 377, Best epoch: 306, Best val_loss: 2.5167720317840576
Run 378, Best epoch: 95, Best val_loss: 2.294239044189453
Run 379, Best epoch: 310, Best val_loss: 3.087629795074463
Run 380, Best epoch: 194, Best val_loss: 3.0153815746307373
Run 381, Best epoch: 535, Best val_loss: 2.605830669403076
Run 382, Best epoch: 120, Best val_loss: 2.178630828857422
Run 383, Best epoch: 86, Best val_loss: 2.0216400623321533
Run 384, Best epoch: 549, Best val_loss: 2.695716381072998
Run 385, Best epoch: 511, Best val_loss: 2.3434677124023438
Run 386, Best epoch: 55, Best val_loss: 1.7649600505828857
Run 387, Best epoch: 257, Best val_loss: 2.4293267726898193
Run 388, Best epoch: 222, Best val_loss: 2.701418161392212
Run 389, Best epoch: 631, Best val_loss: 3.2895796298980713
Run 390, Best epoch: 185, Best val_loss: 2.790740966796875
Run 391, Best epoch: 63, Best val_loss: 2.267697811126709
Run 392, Best epoch: 109, Best val_loss: 2.880732536315918
Run 393, Best epoch: 103, Best val_loss: 2.2437970638275146
Run 394, Best epoch: 578, Best val_loss: 2.5042643547058105
Run 395, Best epoch: 507, Best val_loss: 2.195983648300171
Run 396, Best epoch: 299, Best val_loss: 2.9034323692321777
Run 397, Best epoch: 150, Best val_loss: 2.9852356910705566
Run 398, Best epoch: 210, Best val_loss: 2.726759433746338
Run 399, Best epoch: 612, Best val_loss: 2.2528469562530518
Run 400, Best epoch: 291, Best val_loss: 1.8396008014678955
Run 401, Best epoch: 137, Best val_loss: 2.46421217918396
Run 402, Best epoch: 254, Best val_loss: 2.845510959625244
Run 403, Best epoch: 259, Best val_loss: 2.631587028503418
Run 404, Best epoch: 298, Best val_loss: 2.3479042053222656
Run 405, Best epoch: 32, Best val_loss: 2.757970094680786
Run 406, Best epoch: 112, Best val_loss: 2.063918352127075
Run 407, Best epoch: 66, Best val_loss: 2.350404977798462
Run 408, Best epoch: 246, Best val_loss: 2.354769229888916
Run 409, Best epoch: 601, Best val_loss: 2.1502668857574463
Run 410, Best epoch: 451, Best val_loss: 2.1447460651397705
Run 411, Best epoch: 296, Best val_loss: 2.287701368331909
Run 412, Best epoch: 151, Best val_loss: 2.5136353969573975
Run 413, Best epoch: 190, Best val_loss: 1.9345016479492188
Run 414, Best epoch: 85, Best val_loss: 2.4093708992004395
Run 415, Best epoch: 341, Best val_loss: 2.5002167224884033
Run 416, Best epoch: 242, Best val_loss: 2.997403860092163
Run 417, Best epoch: 139, Best val_loss: 2.3171281814575195
Run 418, Best epoch: 164, Best val_loss: 2.5048985481262207
Run 419, Best epoch: 117, Best val_loss: 2.6994616985321045
Run 420, Best epoch: 247, Best val_loss: 2.885061025619507
Run 421, Best epoch: 463, Best val_loss: 1.8288674354553223
Run 422, Best epoch: 330, Best val_loss: 2.097583532333374
Run 423, Best epoch: 237, Best val_loss: 2.1844029426574707
Run 424, Best epoch: 107, Best val_loss: 2.4859557151794434
Run 425, Best epoch: 445, Best val_loss: 3.020353317260742
Run 426, Best epoch: 596, Best val_loss: 2.2902750968933105
Run 427, Best epoch: 135, Best val_loss: 2.0968024730682373
Run 428, Best epoch: 570, Best val_loss: 2.7717056274414062
Run 429, Best epoch: 53, Best val_loss: 2.371448278427124
Run 430, Best epoch: 562, Best val_loss: 2.963413715362549
Run 431, Best epoch: 346, Best val_loss: 2.5538127422332764
Run 432, Best epoch: 47, Best val_loss: 3.1362335681915283
Run 433, Best epoch: 663, Best val_loss: 2.009188652038574
Run 434, Best epoch: 437, Best val_loss: 3.173024892807007
Run 435, Best epoch: 114, Best val_loss: 3.060371160507202
Run 436, Best epoch: 184, Best val_loss: 2.1811132431030273
Run 437, Best epoch: 224, Best val_loss: 2.9670469760894775
Run 438, Best epoch: 663, Best val_loss: 1.9248456954956055
Run 439, Best epoch: 319, Best val_loss: 2.1750471591949463
Run 440, Best epoch: 331, Best val_loss: 2.7082877159118652
Run 441, Best epoch: 272, Best val_loss: 1.9302982091903687
Run 442, Best epoch: 532, Best val_loss: 2.46297550201416
Run 443, Best epoch: 254, Best val_loss: 2.733597755432129
Run 444, Best epoch: 342, Best val_loss: 2.588534116744995
Run 445, Best epoch: 62, Best val_loss: 2.4903576374053955
Run 446, Best epoch: 120, Best val_loss: 3.197371482849121
Run 447, Best epoch: 173, Best val_loss: 2.2833032608032227
Run 448, Best epoch: 95, Best val_loss: 2.6059913635253906
Run 449, Best epoch: 135, Best val_loss: 1.8047093152999878
Run 450, Best epoch: 493, Best val_loss: 3.0000672340393066
Run 451, Best epoch: 512, Best val_loss: 2.9259300231933594
Run 452, Best epoch: 206, Best val_loss: 2.344696283340454
Run 453, Best epoch: 129, Best val_loss: 2.832200765609741
Run 454, Best epoch: 68, Best val_loss: 2.68749737739563
Run 455, Best epoch: 320, Best val_loss: 3.2036426067352295
Run 456, Best epoch: 246, Best val_loss: 2.2088472843170166
Run 457, Best epoch: 579, Best val_loss: 2.370116710662842
